ThesName;KeyName_de;KeyName_en;AbsolutePath
ÖFOS;102031 Theoretische Informatik;102031 Theoretical computer science;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102032 Computational Intelligence;102032 Computational intelligence;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;102033 Data Mining;102033 Data mining;1 - NATURWISSENSCHAFTEN/102 Informatik/1020 Informatik
ÖFOS;103 Physik, Astronomie;103 Physik, Astronomie;1 - NATURWISSENSCHAFTEN
ÖFOS;1030 Physik, Astronomie;1030 Physik, Astronomie;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie
ÖFOS;103001 Aerodynamik;103001 Aerodynamics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103002 Akustik;103002 Acoustics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103003 Astronomie;103003 Astronomy;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103004 Astrophysik;103004 Astrophysics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103005 Atomphysik;103005 Atomic physics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103006 Chemische Physik;103006 Chemical physics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103007 Dosimetrie;103007 Dosimetry;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103008 Experimentalphysik;103008 Experimental physics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103009 FestkÖrperphysik;103009 Solid state physics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103010 Geschichte der Physik;103010 History of physics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103011 Halbleiterphysik;103011 Semiconductor physics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103012 Hochenergiephysik;103012 High energy physics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103013 Ionenphysik;103013 Ion physics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103014 Kernphysik;103014 Nuclear physics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103015 Kondensierte Materie;103015 Condensed matter ;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103016 Laserphysik;103016 Laser physics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103017 Magnetismus;103017 Magnetism;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103018 Materialphysik;103018 Materials physics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103019 Mathematische Physik;103019 Mathematical physics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103020 OberflÖchenphysik;103020 Surface physics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103021 Optik;103021 Optics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103022 Plasmaphysik;103022 Plasma physics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
